brand,product_name,model_number,category,subcategory,technical_specs,short_description,long_description,product_image_url,datasheet_url,type_id,classification_path,source_url
Sika,Sikafloor®-264 SG,264,Flooring And Coating,Industrial Flooring,"{""part a at 23 c"": ""~1.73 kg/l"", ""part b at 23 c"": ""~1.00 kg/l"", ""mixed resin at 23 c"": ""~1.55 kg/l"", ""15 nmm"": ""(BS 1881 Part 207)"", ""short-term max 12 h"": ""+100 °C"", ""30 c"": ""~18 h"", ""substrate temperature"": ""Minimum"", ""10 c"": ""~72 h"", ""20 c"": ""~24 h"", ""temperature"": ""Foot Traffic"", ""coating system"": ""Product"", ""primer"": ""1 - 2 x Sikafloor® -161"", ""levelling optional"": ""Sikafloor® PS or,"", ""roller coating"": ""2 x Sikafloor®-264 SG"", ""textured roller coating"": ""1 - 2 x Sikafloor®-264 SG + Extender T"", ""textured roller coating with improved slip resistance"": ""10 pbw Sikafloor®-264 SG + Extender T + 1 pbw Sikadur®-504"", ""broadcast system"": ""Sikafloor®-264 SG + broadcasting Sikadur®-507 / Sikadur®-509 + Sealcoat Sikafloor®-264 SG"", ""packaging"": ""Please refer to local country price list for available packaging sizes: \n   \n   Part A (container)  4.12 kg  19.80 kg  23.10 kg  Part B (container)  0.88 kg  4.20 kg  4.90 kg  Part A + B (set)  5.00 kg  24.00 kg  28.00 kg"", ""colour"": ""Resin - Part A  Coloured, liquid  Hardener - Part B  Transparent, liquid  \n  Available in various colour shades, please request Sika sales representative for colour chart. Under direct sun light there might be some discolouration and colour variation which have no influence on the function and performance of the coating."", ""composition"": ""Pigmented epoxy resin"", ""shelf_life"": ""12 months from date of production."", ""storage_conditions"": ""Store in a dry area in original sealed packaging at temperatures between +5 °C and +30 °C. Protect from direct sunlight, heat and moisture."", ""density"": ""Part A (at 23 °C)~1.73 kg/lPart B (at 23 °C)~1.00 kg/lMixed resin (at 23 °C)~1.55 kg/l""}","Sikafloor®-264 SG is a two-part, high-build, solvent free, coloured epoxy resin.Suitable for use in hot and tropical climatic conditions.","Sikafloor®-264 SG is a two-part, high-build, solvent free, coloured epoxy resin. Suitable for use in hot and tropical climatic conditions. Please refer to local country price list for available packaging sizes:",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/epoxy-flooring/sikafloor-264-sg.html
Sika,Sikafloor®-3240,3240,Flooring And Coating,Industrial Flooring,"{""packaging"": ""Part A  20.25 kg containers  Part B  4.75 kg containers  Part A + B  25.0 kg ready to mix units"", ""colour"": ""Part A  Coloured, liquid  Part B  Transparent, liquid  \n   \n  Sikafloor®-3240 is available in broad range of colours."", ""composition"": ""Polyurethane (PUR)"", ""shelf_life"": ""12 months from date of production"", ""storage_conditions"": ""The product must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C."", ""density"": ""Part A  ~1.4 kg/l  Part B  ~1.3 kg/l  Mixed resin (filled 1:0.5)  ~1.6 kg/l  \n   \n  Filling 1:0.5 with quartz sand F34 0.1–0.3 mm. All Density values at +23 °C.""}","Sikafloor®-3240 is a two part solvent free, coloured self-smoothing PUR resin, total solid according to Deutsche Bauchemie, with tough-elastic properties. Sikafloor®-3240 makes use of Sika&#39;s unique i-Cure technology to improve surface aesthetics and reduce sensitivity for ambient humidity during application. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-3240 is a two part solvent free, coloured self-smoothing PUR resin, total solid according to Deutsche Bauchemie, with tough-elastic properties. Sikafloor®-3240 makes use of Sika's unique i-Cure technology to improve surface aesthetics and reduce sensitivity for ambient humidity during application. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-3240.html
Sika,Sikafloor®-305 W,305,Flooring And Coating,Industrial Flooring,"{""part a"": ""~1.33 kg/l"", ""part b"": ""~1.13 kg/l"", ""part a  b"": ""10. kg ready to mix units"", ""mixed resin"": ""~1.18 kg/l"", ""temperatures"": ""Time"", ""10 c"": ""~30 h"", ""20 c"": ""~16 h"", ""30 c"": ""~12 h"", ""temperature"": ""Foot traffic"", ""packaging"": ""Part A8.5 kg containersPart B1.5 kg containersPart A + B10. kg ready to mix units"", ""colour"": ""Sikafloor®-305 W is matt after final curing. Available in various colour shades and as substrates for local tinting."", ""composition"": ""PUR"", ""shelf_life"": ""Part A: 6 months from date of productionPart B: 12 months from date of production"", ""storage_conditions"": ""The packaging must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C."", ""density"": ""Part A~1.33 kg/lPart B~1.13 kg/lMixed resin~1.18 kg/l\n  All Density values at +23 °C""}","Sikafloor®-305 W is a two part water based, low VOC, polyurethane, coloured matt seal coat. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-305 W is a two part water based, low VOC, polyurethane, coloured matt seal coat. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-305-w.html
Sika,Sikafloor®-161,161,Flooring And Coating,Industrial Flooring,"{""resin - part a"": ""Brownish-transparent, liquid"", ""hardener - part b"": ""Transparent, liquid"", ""part a"": ""~1.6 kg/l"", ""part b"": ""~1.0 kg/l"", ""mixed resin"": ""~1.4 kg/l"", ""76 7 d  23 c"": ""(DIN 53 505)"", ""15 nmm² failure in concrete"": ""(ISO 4624)"", ""short-term max 12 h"": ""+100 °C"", ""30 c"": ""16 h"", ""priming"": ""1 - 2 x Sikafloor®-161"", ""levelling mortar medium surface roughness up to 2 mm"": ""1 pbw Sikafloor®-161 + 1 - 3 pbw Sikadur®-504"", ""intermediate layer self-smoothing 15 - 3 mm"": ""1 pbw Sikafloor®-161 + 1 - 3 pbw Sikadur®-504"", ""bonding bridge"": ""1 - 2 x Sikafloor®-161"", ""packaging"": ""Please refer to local country price list for available packaging sizes: \n   Part A  3.95 kg containers  Part B  1.05 kg containers  Part A + B  5 kg ready to mix units  \n   \n   Part A  15.8 kg containers  Part B  4.2 kg containers  Part A + B  20 kg ready to mix units  \n   \n   Part A  19.75 kg containers  Part B  5.25 kg containers  Part A + B  25 kg ready to mix units  \n   \n   Part A  3 drums 220 kg  Part B  1 drum 177 kg  Part A + B  3 drums Part A (220 kg) + 1 drum part B (177 kg) = 837 kg"", ""colour"": ""Resin - Part ABrownish-transparent, liquidHardener - Part BTransparent, liquid"", ""composition"": ""Epoxy"", ""shelf_life"": ""24 months from date of production"", ""storage_conditions"": ""The packaging must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C."", ""density"": ""Part A~1.6 kg/lPart B~1.0 kg/lMixed Resin~1.4 kg/l\n  All density values at +23 °C""}","Sikafloor®-161 is an economic, two part, low viscosity epoxy resin. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-161 is an economic, two part, low viscosity epoxy resin. Suitable for use in hot and tropical climatic conditions. Please refer to local country price list for available packaging sizes:",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/epoxy-flooring/sikafloor-161.html
Sika,Sikafloor®-359 SG,359,Flooring And Coating,Industrial Flooring,"{""short-term max 4 h"": ""+100 °C"", ""10 c"": ""~40 min"", ""20 c"": ""~25 min"", ""30 c"": ""~16 h"", ""packaging"": ""Part A: 16.5 kg containers Part B: 3.5 kg containers Part A + B: 20.0 kg ready to mix units"", ""colour"": ""Resin - Part A: Coloured liquid Hardener - Part B: Transparent liquid Check local standard colour range"", ""composition"": ""Polyurethane"", ""shelf_life"": ""12 months minimum from date of production if stored properly in original, unopened and undamaged sealed packaging"", ""storage_conditions"": ""Store in dry conditions in original sealed packaging and at temperatures between +5 °C and +35 °C."", ""density"": ""Mixed resin: ~1.19 kg/l (25 °C), may vary with colour""}","Sikafloor®-359 SG is a two part tough-elastic, coloured, UV resistant, non-yellowing, polyurethane seal coat for smooth and broadcasted finishes. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-359 SG is a two part tough-elastic, coloured, UV resistant, non-yellowing, polyurethane seal coat for smooth and broadcasted finishes. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-359-sg.html
Sika,Sikafloor® TC 257,257,Flooring And Coating,Industrial Flooring,"{""packaging"": ""22.5 kg (18 L) units (Part A + Part B)"", ""colour"": ""Standard colours: Basalt Grey, Black Grey, May Green, Oxide Red, Brilliant Blue, Light Grey, Traffic Grey, Reseda Green \n  Please request local Sika representative for standard colour chart. \n  Other colors are available on request."", ""composition"": ""Polyurethane resin"", ""shelf_life"": ""12 months from date of production"", ""storage_conditions"": ""Store in a dry area in original sealed packaging at temperatures between +5°C and +30°C. Protect from direct sunlight, heat and moisture."", ""density"": ""Mixed resin: ~1.25 g/l (at 25°C), may vary with colour""}","Sikafloor® TC 257 is a two-component, hardwearing, pigmented, aliphatic polyurethane coating, designed for application in heavily trafficked areas. It provides a UV-resistant, hard-elastic surface resistant to chemicals and abrasion. Suitable for use in hot and tropical climatic conditions.","Sikafloor® TC 257 is a two-component, hardwearing, pigmented, aliphatic polyurethane coating, designed for application in heavily trafficked areas. It provides a UV-resistant, hard-elastic surface resistant to chemicals and abrasion. Suitable for use in hot and tropical climatic conditions. Standard colours: Basalt Grey, Black Grey, May Green, Oxide Red, Brilliant Blue, Light Grey, Traffic Grey, Reseda Green Please request local Sika representative for standard colour chart.",,https://gcc.sika.com/dam/dms/gcc/q/pds-sikafloor-tc257.pdf,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-tc-257.html
Sika,Sikafloor® SR,,Flooring And Coating,Industrial Flooring,"{""packaging"": ""25 kg triple ply sacks"", ""shelf_life"": ""24 months from date of production"", ""storage_conditions"": ""Store in undamaged, unopened, original sealed packaging in dry conditions at temperatures between +5°C and +35°C. Protect from direct sunlight, heat and moisture.""}","Sikafloor® SR aggregates are used with various resin products to produce industrial floors filled coatings, slip-resistant profiles and creation of mechanical key for subsequent coatings. Available in various gradings: Product name: Aggregate size: Sikafloor® SR 1 0 - 0.3 mm Sikafloor® SR 2 0.3 - 0.7 mm Sikafloor® SR 30.3 -0.9 mmSikafloor® SR 51 - 2 mm","Sikafloor® SR aggregates are used with various resin products to produce industrial floors filled coatings, slip-resistant profiles and creation of mechanical key for subsequent coatings. Available in various gradings: Product name: Aggregate size: Sikafloor® SR 1 0 - 0.3 mm Sikafloor® SR 2 0.3 - 0.7 mm Sikafloor® SR 30.3 -0.9 mmSikafloor® SR 51 - 2 mm Store in undamaged, unopened, original sealed packaging in dry conditions at temperatures between +5°C and +35°C. Protect from direct sunlight, heat and moisture. Refer to applicable Sika® product or system Method Statement.",,https://gcc.sika.com/dam/dms/gcc/w/pds-sikafloor-sr.pdf,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/accessories/sikafloor-sr.html
Sika,Sikalastic® M 811 R ME,811R,Roofing,Liquid Applied Membrane,"{""component a resin"": ""~60–80 °C"", ""component b iso"": ""~60–80 °C"", ""hose"": ""~70 °C"", ""minimum waiting time"": ""Maximum waiting time"", ""immediate"": ""~24 hours"", ""2 hours"": ""~24 hours"", ""packaging"": ""Component A (Resin)200 kg drumComponent B (Iso)200 kg drum"", ""colour"": ""Component A (Resin)liquid / greyComponent B (Iso)liquid / clear (yellowish) \n  Cures to a grey membrane. UV light exposure may lead to yellowing."", ""composition"": ""Polyurea / polyurethane hybrid"", ""shelf_life"": ""Component A (Resin)12 months from date of productionComponent B (Iso)12 months from date of production"", ""storage_conditions"": ""The product must be stored properly in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5 °C and +30 °C. Higher storage temperatures may reduce shelf life of product. Reference shall also be made to the storage recommendations within the safety data sheet."", ""density"": ""Component A (Resin)1.03 g/cm³Component B (Iso)1.10 g/cm³ \n  Values at +25 °C""}","Sikalastic® M 811 R ME is a two-component polyurea / polyurethane hybrid waterproofing membrane. It is highly reactive with rapid setting time and needs to be applied by special, two-component spray machine. Sikalastic® M 811 R ME cures to form an elastic, crack-bridging, seamless, waterproofing membrane. Suitable for use in hot and tropical climatic conditions.","Sikalastic® M 811 R ME is a two-component polyurea / polyurethane hybrid waterproofing membrane. It is highly reactive with rapid setting time and needs to be applied by special, two-component spray machine. Sikalastic® M 811 R ME cures to form an elastic, crack-bridging, seamless, waterproofing membrane. Suitable for use in hot and tropical climatic conditions. Cures to a grey membrane. UV light exposure may lead to yellowing. The product must be stored properly in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5 °C and +30 °C. Higher storage temperatures may reduce shelf life of product. Reference shall also be made to the storage recommendations within the safety data sheet.",,https://gcc.sika.com/dam/dms/gcc/i/pds-sikalastic-m811rme.pdf,,,https://gcc.sika.com/en/construction/roofing/liquid-applied-membrane/sikalastic-m-811rme.html
Sika,Sikalastic®-851,851,Waterproofing,Liquid Applied Membrane,"{""85"": ""(DIN 53505)"", ""13 mg"": ""H17 / 1000 g / 1000 cy"", ""480 mg"": ""H22 / 1000 g / 1000 cy"", ""class a5"": ""Static"", ""class b42"": ""Dynamic"", ""cementitious substrates"": ""Sika® Concrete Primer or Sikafloor®-161 lightly broadcast with quartz sand, 0.3 – 0.8 mm, for example Sikadur®-507"", ""permanently submerged area"": ""Sikafloor®-161 lightly broadcast with quartz sand, 0.3 – 0.8 mm, for example Sikadur®-507"", ""packaging"": ""Part A  211 kg drums ~189 L (Isocyanate)  Part B  202 kg drums ~189 L (Polyol/ -amine)"", ""colour"": ""Part A  Clear  Part B  Grey  \n  Grey, approximately RAL 7004"", ""composition"": ""Poyurethane/ Polyurea Hybrid"", ""shelf_life"": ""12 month from date of production"", ""storage_conditions"": ""The packaging must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C. Protected from direct sunlight."", ""density"": ""Part A  ~1.08 kg/l  Part B  ~1.04 kg/l  \n  Density values determined at +20 °C"", ""viscosity"": ""Temperature  Part A  Part B +20 °C ~2300 mPas  ~2300 mPas""}","Sikalastic®-851 is a two part, elastic, 100 % solids, very fast curing and coloured Polyurethane/ Polyurea-Hybrid liquid applied membrane with moderate chemical resistance. Suitable for use in hot and tropical climatic conditions.","Sikalastic®-851 is a two part, elastic, 100 % solids, very fast curing and coloured Polyurethane/ Polyurea-Hybrid liquid applied membrane with moderate chemical resistance. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/waterproofing/liquid-applied-membrane/sikalastic-851.html
Sika,Sikafloor®-324,324,Flooring And Coating,Industrial Flooring,"{""container part a"": ""20.25 kg"", ""container part b"": ""4.75 kg"", ""container part a  part b"": ""25.0 kg"", ""packaging"": ""Container Part A20.25 kg Container Part B4.75 kgContainer Part A + Part B25.0 kg \n  Refer to the current price list for available packaging variations."", ""colour"": ""Part A  Coloured  Part B  Brownish  Cured colour  Available in various colours"", ""composition"": ""Solvent-free polyurethane"", ""shelf_life"": ""12 months from date of production"", ""storage_conditions"": ""The Product must be stored in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5 °C and +30 °C. Always refer to packaging. Protect from direct sunlight, heat and moisture. \n  Refer to the current Safety Data Sheet for information on safe handling and storage."", ""density"": ""Part A  ~1.4 kg/l  Part B  ~1.2 kg/l  Mixed Product  ~1.6 kg/l (filled 1 : 0.5 with quartz sand 0.1–0.3 mm)  \n  All density values at +23 °C.""}","Sikafloor®-324 is a two part solvent free, pigmented, aromatic polyurethane resin, with tough-elastic properties. Sikafloor®-324 makes use of Sika&#39;s unique i-Cure technology to improve surface aesthetics and reduce sensitivity for ambient humidity during application. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-324 is a two part solvent free, pigmented, aromatic polyurethane resin, with tough-elastic properties. Sikafloor®-324 makes use of Sika's unique i-Cure technology to improve surface aesthetics and reduce sensitivity for ambient humidity during application. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-324.html
Sika,Sikafloor®-161 G,161,Flooring And Coating,Industrial Flooring,"{""part a"": ""23.10 kg"", ""resin - part a"": ""Brownish-transparent, liquid"", ""10 c"": ""24 h"", ""20 c"": ""~30 min"", ""30 c"": ""8 h"", ""substrate temperature"": ""Minimum"", ""coating system"": ""Product"", ""priming"": ""1 - 2 x Sikafloor®-161 G"", ""levelling mortar fine surface roughness  1 mm"": ""1 pbw Sikafloor®-161 G + 0.5 pbw quartz sand (0.1 - 0.3 mm)"", ""packaging"": ""Part A23.10 kgPart B 4.90 kg Part A + B 28 kg ready to mix units"", ""colour"": ""Resin - Part ABrownish-transparent, liquid Hardener - Part B Transparent, liquid"", ""composition"": ""Epoxy resin"", ""shelf_life"": ""12 months from date of production"", ""storage_conditions"": ""The packaging must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C. Protect from direct sunlight, heat and moisture."", ""density"": ""Part A  ~1.73 kg/l  Part B  ~1.0 kg/l  Mixed Resin  ~1.55 kg/l  \n  All density values at +23 °C""}","Sikafloor®-161 G is an economic, two part, medium viscosity epoxy resin. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-161 G is an economic, two part, medium viscosity epoxy resin. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/epoxy-flooring/sikafloor-161-g.html
Sika,Sikafloor®-264,264,Flooring And Coating,Industrial Flooring,"{""resin - part a"": ""Coloured, liquid"", ""hardener - part b"": ""Transparent, liquid"", ""part a"": ""~1.64 kg/l"", ""part b"": ""~1.00 kg/l"", ""mixed resin"": ""~1.40 kg/l"", ""76 7 d  23 c"": ""(DIN 53 505)"", ""41 mg cs 10  1000  1000 8 d  23 c"": ""(DIN 53 505)"", ""resin filled 1  09 with f34 53 nmm"": ""(EN196-1)"", ""resin filled 1  09 with f34 20 nmm"": ""(EN 196-1)"", ""15 nmm² failure in concrete"": ""(ISO 4624)"", ""exposure"": ""Dry heat"", ""permanent"": ""+50 °C"", ""short-term max 7 d"": ""+80 °C"", ""short-term max 12 h"": ""+100 °C"", ""substrate temperature"": ""Minimum"", ""10 c"": ""~72 h"", ""20 c"": ""~24 h"", ""30 c"": ""~18 h"", ""temperature"": ""Foot traffic"", ""packaging"": ""Please refer to local country price list for available packaging sizes: \n   Part A  3.95 kg containers  Part B  1.05 kg containers  Part A + B  5 kg ready to mix units  \n   \n   Part A  15.8 kg containers  Part B  4.2 kg containers  Part A + B  20 kg ready to mix units  \n   \n   Part A  19.75 kg containers  Part B  5.25 kg containers  Part A + B  25 kg ready to mix units  \n   \n   Part A  3 drums 220 kg  Part B  1 drum 177 kg  Part A + B  3 drums Part A (220 kg) + 1 drum part B (177 kg) = 837 kg"", ""colour"": ""Resin - Part AColoured, liquidHardener - Part BTransparent, liquidExtended colour range \n  RAL 1001, 6021, 7030, 7032, 7035, 7037, 7038, 7040, 7042, 9002 Other colours on request.\n  Under direct sun light there may be some discolouration and colour variation; this has no influence on the function and performance of the coating."", ""composition"": ""Epoxy"", ""shelf_life"": ""24 months from date of production"", ""storage_conditions"": ""The product must be stored in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5 °C and +30 °C."", ""density"": ""Part A~1.64 kg/lPart B~1.00 kg/lMixed resin~1.40 kg/l\n  All Density values at +23 °C.""}",Sikafloor®-264 is a two part coloured epoxy resin. Suitable for use in hot and tropical climatic conditions.,Sikafloor®-264 is a two part coloured epoxy resin. Suitable for use in hot and tropical climatic conditions. Please refer to local country price list for available packaging sizes:,,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/epoxy-flooring/sikafloor-264.html
Sika,Sikagard®-65 WN BH,65,Flooring And Coating,Industrial Coating,"{""temperature"": ""+20 °C"", ""minimum curing time before transportation of segments"": ""12 hours"", ""fully cured"": ""10 days"", ""single coat application on segments"": ""1 x Sikagard®-65 WN BH"", ""double coat application on segments"": ""1 x Sikagard®-65 WN BH"", ""packaging"": ""20 kg sets (Part A + B)"", ""colour"": ""Grey"", ""composition"": ""Water-dispersed epoxy resin"", ""shelf_life"": ""12 months from date of production."", ""storage_conditions"": ""Store in unopened, undamaged and sealed original packaging in dry conditions at temperatures between +5 °C and +30 °C. Protect from direct sunlight, heat and moisture."", ""density"": ""~1.35 kg/l (at +20°C, mixed A and B)""}","Sikagard®-65 WN BH is a solvent-free, water-dispersed, two part epoxy resin for curing and protection of precast concrete segments immediately after de-moulding. It is designed and formulated to meet high durability demands in aggressive environments. Suitable for use in hot and tropical climatic conditions.","Sikagard®-65 WN BH is a solvent-free, water-dispersed, two part epoxy resin for curing and protection of precast concrete segments immediately after de-moulding. It is designed and formulated to meet high durability demands in aggressive environments. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-coating/sikagard-65-wn-bh.html
Sika,Sikafloor®-263 SL,263,Flooring And Coating,Industrial Flooring,"{""part a"": ""~1.50 kg/l"", ""30 c"": ""16 h"", ""10c"": ""~ 72 hours"", ""20c"": ""~ 24 hours"", ""30c"": ""~ 18 hours"", ""packaging"": ""Please refer to local country price list for available packaging sizes: \n   Part A  15.8 kg containers  Part B  4.2 kg containers  Part A + B  20 kg ready to mix units  \n   \n   Part A  19.75 kg containers  Part B  5.25 kg containers  Part A + B  25 kg ready to mix units"", ""colour"": ""Resin - Part A  Coloured, liquid  Hardener - Part B  Transparent, liquid  \n  Available in various colour shades, please request Sika sales representative for colour chart. \n  Under direct sun light there may be some discolouration and colour variation; this has no influence on the function and performance of the coating."", ""composition"": ""Pigmented epoxy resin"", ""shelf_life"": ""24 months from date of production"", ""storage_conditions"": ""The product must be stored in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5 °C and +30 °C."", ""density"": ""Part A~1.50 kg/l Part B  ~1.00 kg/l  Mixed resin ~1.44 kg/l Filled resin in ratio (1:1) with Sikadur®-504 ~1.83 kg/l Filled resin in ratio (1:1.25) with Sikadur®-504 ~1.89 kg/l \n  Note: All Density values at +23 °C.""}","Sikafloor®-263 SL is a two part (filler supplied separately), self-smoothing, pigmented, epoxy resin for flooring application. Suitable for use in hot and tropical climatic conditions.","Sikafloor®-263 SL is a two part (filler supplied separately), self-smoothing, pigmented, epoxy resin for flooring application. Suitable for use in hot and tropical climatic conditions. Please refer to local country price list for available packaging sizes:",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/epoxy-flooring/sikafloor-263-sl.html
Sika,Sikafloor®-305 W ESD,305,Flooring And Coating,Industrial Flooring,"{""container part a"": ""8.5 kg"", ""container part b"": ""1.5 kg"", ""container part a  part b"": ""10 kg"", ""part a"": ""6 months from date of production"", ""part b"": ""12 months from date of production"", ""cured appearance"": ""matt finish"", ""15 nmm² failure in concrete"": ""(EN 1542)"", ""body voltage generation"": ""< 100 V"", ""part a  part b by weight"": ""85 : 15"", ""30c"": ""16 hours"", ""packaging"": ""Container Part A8.5 kgContainer Part B1.5 kgContainer Part A + Part B10 kg\n  Refer to the current price list for available packaging variations."", ""colour"": ""Part Acoloured, liquidPart Byellowish, liquidCured appearancematt finish"", ""composition"": ""Water-based polyurethane"", ""shelf_life"": ""Part A6 months from date of productionPart B12 months from date of production"", ""storage_conditions"": ""The Product must be stored in original, unopened and undamaged sealed packaging in dry conditions at temperatures between +5°C and +30°C. Always refer to packaging. \n  Refer to the current Safety Data Sheet for information on safe handling and storage."", ""density"": ""Part A  ~1.40 kg/l  Part B  ~1.16 kg/l  Mixed Product  ~1.36 kg/l""}","Sikafloor®-305 W ESD is a two part water-based, low VOC, polyurethane, coloured, matt ESD seal coat. It is used with the Sikafloor® epoxy and polyurethane flooring systems.","Sikafloor®-305 W ESD is a two part water-based, low VOC, polyurethane, coloured, matt ESD seal coat. It is used with the Sikafloor® epoxy and polyurethane flooring systems.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-flooring/polyurethane-flooring/sikafloor-305-wesd.html
Sika,Sika® Permacor®-2330,2330,Flooring And Coating,Industrial Coating,"{""by weight"": ""100 : 15"", ""by volume"": ""5.1 : 1"", ""10 c after"": ""18 h"", ""15 c after"": ""10 h"", ""20 c after"": ""8 h"", ""25 c after"": ""6 h"", ""30 c after"": ""4 h"", ""voc"": ""~36.0 g/m"", ""packaging"": ""Sika® Permacor®-2330  28.75 kg and 11.5 kg net."", ""colour"": ""RAL- and NCS-colour shades, glossyOthers upon request."", ""shelf_life"": ""2 years"", ""storage_conditions"": ""In originally sealed containers in a cool and dry environment."", ""density"": ""~1.3 kg/l""}",Sika® Permacor®-2330 is a 2-pack acrylic polyurethane top coat. Suitable for use in hot and tropical climatic conditions.,Sika® Permacor®-2330 is a 2-pack acrylic polyurethane top coat. Suitable for use in hot and tropical climatic conditions.,,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-coating/sika-permacor-2330.html
Sika,Sikagard®-63 N,63,Flooring And Coating,Industrial Coating,"{""part a"": ""8.70 kg container"", ""part b"": ""1.3 kg container"", ""part a  b"": ""10 kg ready to mix unit"", ""mixed resin 135 kgl"": ""(EN ISO 2811-1)"", ""15 nmm"": ""(EN 24624)"", ""10 nmm"": ""(EN 24624)"", ""exposure"": ""Dry heat"", ""permanent"": ""+40 °C"", ""max 3 days"": ""+60 °C"", ""temperature"": ""Minimum"", ""10 c"": ""9 h"", ""20 c"": ""5 h"", ""30 c"": ""4 h"", ""packaging"": ""Part A8.70 kg containerPart B1.3 kg containerPart A + B10 kg ready to mix unit"", ""colour"": ""RAL 7032 (pebble grey), other on request"", ""composition"": ""Epoxy resin"", ""shelf_life"": ""12 month from date of production"", ""storage_conditions"": ""The packaging must be stored properly in original, unopend and undamaged sealed packaging, in dry conditions at temperatures between +5 °C and +30 °C. Protected from direct sunlight."", ""density"": ""Mixed resin ~1.35 kg/l(EN ISO 2811-1)\n  Density values determined at +23 °C""}","Sikagard®-63 N is a two part, rigid, total solid, coloured epoxy resin based protective coating. Suitable for use in hot and tropical climates.","Sikagard®-63 N is a two part, rigid, total solid, coloured epoxy resin based protective coating.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-coating/sikagard-63-n.html
Sika,Sikagard®-62,62,Flooring And Coating,Industrial Coating,"{""part a"": ""3.75 kg drums"", ""part b"": ""1.25 kg drums"", ""80"": ""(DIN 5305)"", ""max 12 h"": ""+100°C"", ""30c"": ""~10 min"", ""packaging"": ""Part A3.75 kg drumsPart B1.25 kg drums"", ""colour"": ""RAL 7032 (pebble grey), other on request"", ""composition"": ""Epoxy resin"", ""shelf_life"": ""Part A: 18 months Part B: 18 months From date of production if stored properly."", ""storage_conditions"": ""The packaging must be stored properly in original, unopened and undamaged sealed packaging, in dry conditions at temperatures between +5°C and +30°C. Protected from direct sunlight."", ""density"": ""Part A  ~1.45 kg/l  Part B  ~1.02 kg/l  \n   \n  Mixed resin ~1.37 kg/l \n  Density values determined at +23°C""}","Sikagard®-62 is a two part, rigid, 100 % solids, coloured high build epoxy resin based protective coating. Suitable for hot and tropical climatic conditions.","Sikagard®-62 is a two part, rigid, 100 % solids, coloured high build epoxy resin based protective coating. Suitable for hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/flooring-and-coating/industrial-coating/sikagard-62.html
